,Año,Trimestre,Accesos TV por suscripción,Accesos TV satelital
0,2022,3,7665931,2064699
1,2022,2,7647584,2064637
2,2022,1,7564827,2049628
3,2021,4,7596758,2010217
4,2021,3,7676892,2147571
5,2021,2,7333071,2326029
6,2021,1,7346948,2261855
7,2020,4,7332508,2320365
8,2020,3,7329433,2451671
9,2020,2,7224135,2453731
10,2020,1,7221911,2456768
11,2019,4,7296185,2459872
12,2019,3,7156690,2460927
13,2019,2,7048709,2460177
14,2019,1,6971691,2473124
15,2018,4,6911972,2474558
16,2018,3,7043550,2536706
17,2018,2,6930762,2502826
18,2018,1,6932176,2466902
19,2017,4,6826025,2562320
20,2017,3,6767020,2592551
21,2017,2,6766484,2576258
22,2017,1,6603332,2531404
23,2016,4,6553801,2662031
24,2016,3,6538382,2628542
25,2016,2,6534381,2642286
26,2016,1,6505712,2539255
27,2015,4,6506102,2537610
28,2015,3,6489305,2585384
29,2015,2,6460053,2582737
30,2015,1,6409504,2495326
31,2014,4,6478044,2466184
32,2014,3,6449845,2450098
33,2014,2,6438522,2546820
