,Año,Trimestre,Ingresos_Internet (miles de pesos),Ingresos_Telefonia (miles de $),Ingresos TV por suscripción  (miles de $),Ingresos TV satelital (miles de $)
0,2022,3,67055930,174057836,52242784.63,27073190.89
1,2022,2,60335724,153032313,46292673.44,23559484.83
2,2022,1,55589997,130454676,42093870.19,21268086.24
3,2021,4,45467887,127389786,38273391.8,18038065.44
4,2021,3,42999944,117751925,36398025.53,18039519.5
5,2021,2,38239667,104782020,33674995.79,18038442.36
6,2021,1,36676371,93112153,31924515.01,18038360.96
7,2020,4,33539703,83479114,26324098.62,14479622.62
8,2020,3,31997445,79634755,25386154.6,12933200.33
9,2020,2,32102476,73538944,24620009.49,12544725.93
10,2020,1,29946216,72077147,25147465.8,12352763.88
11,2019,4,24169251,65388842,22785446.51,12150588.86
12,2019,3,21652748,60905891,20284731.23,10896197.62
13,2019,2,20743118,55338816,18392209.47,9937613.38
14,2019,1,20207414,50246691,17479491.54,8816484.13
15,2018,4,16637687,44026803,15211246.86,8270871.03
16,2018,3,15410981,43280089,14197598.63,8179603.0
17,2018,2,14319467,40653502,13358361.56,7797684.06
18,2018,1,13171459,38733946,12277309.95,7145424.82
19,2017,4,11226127,38110028,11642559.21,6844906.43
20,2017,3,10065998,35711689,10764742.4,6093649.61
21,2017,2,9678647,33509264,9936138.83,5764634.73
22,2017,1,8701201,31205565,9607361.15,5262244.08
23,2016,4,7483980,30143233,8517141.2,5016640.95
24,2016,3,6912442,27416177,8293761.49,4653224.18
25,2016,2,6534241,25353971,7353428.98,4400976.43
26,2016,1,5936845,24763052,7137386.23,4069679.63
27,2015,4,5376899,24881967,6347226.86,3635228.39
28,2015,3,5153739,21785238,6130815.97,3439335.7
29,2015,2,4701791,19945453,5467604.99,3196655.0
30,2015,1,4876385,19337342,5292088.22,3021837.23
31,2014,4,3950441,20012332,4711967.39,2686124.01
32,2014,3,3478638,18976053,4423008.82,2530796.72
33,2014,2,3270816,17680972,4053729.07,2341708.31
34,2014,1,2984054,15938353,3599484.35,2001221.17
